id,host_id,host_name,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_verifications,host_identity_verified,neighbourhood,room_type,accommodates,bedrooms,beds,amenities,minimum_nights,maximum_nights,has_availability,availability_365,number_of_reviews,review_scores_rating,instant_bookable,reviews_per_month
92921,499362,David,4/11/11,within a day,100%,78%,t,"['email', 'phone', 'reviews', 'kba']",t,Menlo Park,Private room,2,1,1,"[""Refrigerator"", ""Hot water"", ""Lockbox"", ""Dishes and silverware"", ""Patio or balcony"", ""Bed linens"", ""Hair dryer"", ""Extra pillows and blankets"", ""Hangers"", ""Smoke alarm"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Wifi"", ""Lock on bedroom door"", ""Iron"", ""Free street parking"", ""Shower gel"", ""First aid kit"", ""Microwave"", ""Dishwasher"", ""Dryer"", ""Garden or backyard"", ""Single level home"", ""Dedicated workspace"", ""Free parking on premises"", ""Heating"", ""Fire extinguisher"", ""Shampoo"", ""Essentials"", ""Carbon monoxide alarm"", ""Washer"", ""Hot tub""]",1,28,t,308,412,99,f,3.51
123653,617641,Mj,5/23/11,within an hour,100%,65%,f,"['email', 'phone', 'facebook', 'google', 'reviews', 'kba']",t,Atherton,Entire home/apt,6,4,4,"[""Heating"", ""Washer"", ""Dedicated workspace"", ""Dryer"", ""Smoke alarm"", ""Free parking on premises"", ""Dishes and silverware"", ""Lockbox"", ""Carbon monoxide alarm"", ""Hair dryer"", ""Kitchen"", ""TV"", ""Wifi"", ""Cable TV"", ""Shampoo"", ""Fire extinguisher"", ""First aid kit"", ""Hangers"", ""Essentials"", ""Iron""]",29,365,t,365,13,98,f,0.11
139723,678491,Lisa,6/8/11,within a few hours,100%,70%,t,"['phone', 'reviews', 'offline_government_id', 'kba', 'government_id', 'work_email']",t,Belmont,Entire home/apt,8,4,4,"[""Refrigerator"", ""Free parking on premises"", ""Heating"", ""Hangers"", ""Hair dryer"", ""Indoor fireplace"", ""Dedicated workspace"", ""Dishwasher"", ""Stove"", ""Dishes and silverware"", ""Essentials"", ""Smart lock"", ""Dryer"", ""Iron"", ""Shampoo"", ""Bed linens"", ""Kitchen"", ""Washer"", ""Microwave"", ""Carbon monoxide alarm"", ""Cooking basics"", ""Extra pillows and blankets"", ""Wifi"", ""Free street parking"", ""Hot water"", ""Coffee maker"", ""Garden or backyard"", ""Oven""]",3,10,t,0,28,94,f,0.27
144099,694406,Delphine,6/12/11,N/A,N/A,N/A,f,"['email', 'phone', 'reviews']",f,San Mateo,Entire home/apt,5,2,2,"[""Kitchen"", ""Hot tub"", ""Heating"", ""Dishes and silverware"", ""Washer"", ""Wifi"", ""TV"", ""Free parking on premises"", ""Pool"", ""Dryer""]",15,365,t,273,13,95,f,0.11
175322,838172,Kevin,7/19/11,N/A,N/A,N/A,f,"['email', 'phone', 'reviews', 'offline_government_id', 'selfie', 'government_id']",t,Half Moon Bay,Entire home/apt,7,4,5,"[""Smoke alarm"", ""Dryer"", ""Indoor fireplace"", ""Free parking on premises"", ""Kitchen"", ""Wifi"", ""Heating"", ""Fire extinguisher"", ""Essentials"", ""Carbon monoxide alarm"", ""Washer""]",30,365,t,2,0,,f,
182605,424098,Tim,3/5/11,N/A,N/A,100%,t,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'kba', 'selfie', 'government_id', 'identity_manual', 'work_email']",t,San Carlos,Private room,2,1,1,"[""Extra pillows and blankets"", ""Long term stays allowed"", ""Keypad"", ""Washer"", ""Smoke alarm"", ""Dryer"", ""First aid kit"", ""Free street parking"", ""Dishes and silverware"", ""Heating"", ""Hot water"", ""Cable TV"", ""Hair dryer"", ""Garden or backyard"", ""Dishwasher"", ""Luggage dropoff allowed"", ""Patio or balcony"", ""Cooking basics"", ""Stove"", ""Dedicated workspace"", ""Indoor fireplace"", ""Iron"", ""Oven"", ""Refrigerator"", ""Free parking on premises"", ""BBQ grill"", ""Carbon monoxide alarm"", ""Microwave"", ""Kitchen"", ""Coffee maker"", ""Essentials"", ""Bed linens"", ""Shampoo"", ""TV"", ""Wifi"", ""Fire extinguisher"", ""Lock on bedroom door"", ""Single level home"", ""Hangers""]",3,29,t,179,31,96,f,0.28
208270,1025039,Angela,8/26/11,within an hour,100%,91%,t,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'kba', 'government_id']",t,San Mateo,Private room,3,1,2,"[""Extra pillows and blankets"", ""Long term stays allowed"", ""Washer"", ""First aid kit"", ""Smoke alarm"", ""Free street parking"", ""Dishes and silverware"", ""Heating"", ""Hot water"", ""Hair dryer"", ""Luggage dropoff allowed"", ""Dedicated workspace"", ""Indoor fireplace"", ""Iron"", ""Free parking on premises"", ""Carbon monoxide alarm"", ""Bed linens"", ""Shampoo"", ""Essentials"", ""Kitchen"", ""Coffee maker"", ""Wifi"", ""Fire extinguisher"", ""Lock on bedroom door"", ""Dryer"", ""Hangers""]",1,365,t,363,171,95,f,1.51
208309,1025237,Debra,8/26/11,N/A,N/A,N/A,f,"['email', 'phone', 'reviews', 'offline_government_id', 'selfie', 'government_id']",t,San Mateo,Private room,2,1,1,"[""Iron"", ""Breakfast"", ""Shampoo"", ""Fire extinguisher"", ""Essentials"", ""Free street parking"", ""Smoke alarm"", ""First aid kit"", ""Carbon monoxide alarm"", ""Lock on bedroom door"", ""Dedicated workspace"", ""Indoor fireplace"", ""Hair dryer"", ""Hot tub"", ""Hot water"", ""Bed linens"", ""Heating"", ""Pool"", ""Wifi"", ""Hangers"", ""Coffee maker"", ""Extra pillows and blankets""]",3,14,t,0,60,96,f,1.84
236882,617641,Mj,5/23/11,within an hour,100%,65%,f,"['email', 'phone', 'facebook', 'google', 'reviews', 'kba']",t,Atherton,Private room,1,1,1,"[""Iron"", ""Breakfast"", ""Dishes and silverware"", ""Shampoo"", ""Luggage dropoff allowed"", ""Fire extinguisher"", ""Essentials"", ""Microwave"", ""Free street parking"", ""Cable TV"", ""Smoke alarm"", ""First aid kit"", ""Carbon monoxide alarm"", ""Lock on bedroom door"", ""Garden or backyard"", ""Lockbox"", ""Dedicated workspace"", ""Hair dryer"", ""Stove"", ""Dishwasher"", ""Hot water"", ""TV"", ""Heating"", ""Hangers"", ""Wifi"", ""Free parking on premises"", ""Oven"", ""Private entrance"", ""Coffee maker"", ""Refrigerator"", ""Kitchen"", ""Long term stays allowed"", ""Washer"", ""Cooking basics"", ""Dryer""]",30,365,t,0,147,99,f,1.36
275617,1440686,Johanna And Bob,11/24/11,within an hour,100%,88%,t,"['email', 'phone', 'manual_online', 'reviews', 'manual_offline', 'jumio']",f,San Carlos,Private room,2,1,1,"[""Extra pillows and blankets"", ""High chair"", ""Changing table"", ""Washer"", ""Baby monitor"", ""Smoke alarm"", ""First aid kit"", ""Children\u2019s dinnerware"", ""Free street parking"", ""Dishes and silverware"", ""Heating"", ""Hot water"", ""Host greets you"", ""Cable TV"", ""Hair dryer"", ""Garden or backyard"", ""Dishwasher"", ""Patio or balcony"", ""Luggage dropoff allowed"", ""Cooking basics"", ""Stove"", ""Dedicated workspace"", ""Children\u2019s books and toys"", ""Iron"", ""Oven"", ""Refrigerator"", ""Free parking on premises"", ""Breakfast"", ""BBQ grill"", ""Carbon monoxide alarm"", ""Microwave"", ""Fireplace guards"", ""Bed linens"", ""Shampoo"", ""Essentials"", ""Kitchen"", ""Coffee maker"", ""Hot tub"", ""TV"", ""Wifi"", ""Fire extinguisher"", ""Pack \u2019n Play/travel crib"", ""Lock on bedroom door"", ""Dryer"", ""Hangers""]",3,30,t,363,124,97,f,1.13
281339,1440686,Johanna And Bob,11/24/11,within an hour,100%,88%,t,"['email', 'phone', 'manual_online', 'reviews', 'manual_offline', 'jumio']",f,San Carlos,Private room,2,1,1,"[""Refrigerator"", ""Hot water"", ""High chair"", ""Dishes and silverware"", ""Patio or balcony"", ""Fireplace guards"", ""Bed linens"", ""Oven"", ""Hair dryer"", ""Extra pillows and blankets"", ""Long term stays allowed"", ""Hangers"", ""Pack \u2019n Play/travel crib"", ""Smoke alarm"", ""Changing table"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Wifi"", ""Lock on bedroom door"", ""Iron"", ""Free street parking"", ""BBQ grill"", ""Host greets you"", ""First aid kit"", ""Microwave"", ""Dishwasher"", ""Breakfast"", ""Dryer"", ""Children\u2019s books and toys"", ""TV"", ""Cable TV"", ""Garden or backyard"", ""Dedicated workspace"", ""Cooking basics"", ""Free parking on premises"", ""Baby monitor"", ""Kitchen"", ""Heating"", ""Fire extinguisher"", ""Shampoo"", ""Essentials"", ""Carbon monoxide alarm"", ""Washer"", ""Children\u2019s dinnerware"", ""Hot tub"", ""Stove""]",3,30,t,365,132,98,f,1.2
281472,1440686,Johanna And Bob,11/24/11,within an hour,100%,88%,t,"['email', 'phone', 'manual_online', 'reviews', 'manual_offline', 'jumio']",f,San Carlos,Private room,2,1,1,"[""Refrigerator"", ""Hot water"", ""High chair"", ""Dishes and silverware"", ""Patio or balcony"", ""Bed linens"", ""Oven"", ""Hair dryer"", ""Extra pillows and blankets"", ""Long term stays allowed"", ""Hangers"", ""Pack \u2019n Play/travel crib"", ""Smoke alarm"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Wifi"", ""Lock on bedroom door"", ""Iron"", ""Free street parking"", ""BBQ grill"", ""Room-darkening shades"", ""Host greets you"", ""First aid kit"", ""Microwave"", ""Dishwasher"", ""Breakfast"", ""Dryer"", ""Children\u2019s books and toys"", ""TV"", ""Cable TV"", ""Garden or backyard"", ""Dedicated workspace"", ""Cooking basics"", ""Free parking on premises"", ""Baby monitor"", ""Kitchen"", ""Heating"", ""Fire extinguisher"", ""Shampoo"", ""Essentials"", ""Carbon monoxide alarm"", ""Washer"", ""Children\u2019s dinnerware"", ""Hot tub"", ""Stove""]",3,30,t,364,123,97,f,1.18
312514,1605211,Chris,1/14/12,within an hour,100%,97%,t,"['email', 'phone', 'facebook', 'reviews', 'kba']",f,Redwood City,Entire home/apt,2,1,1,"[""Iron"", ""Dishes and silverware"", ""Shampoo"", ""Luggage dropoff allowed"", ""Single level home"", ""Patio or balcony"", ""Essentials"", ""Microwave"", ""Free street parking"", ""Cable TV"", ""Smoke alarm"", ""Smart lock"", ""Carbon monoxide alarm"", ""Garden or backyard"", ""Dedicated workspace"", ""Hair dryer"", ""Stove"", ""Bathtub"", ""Hot water"", ""Air conditioning"", ""TV"", ""Bed linens"", ""Heating"", ""Hangers"", ""Wifi"", ""Free parking on premises"", ""Oven"", ""Private entrance"", ""Coffee maker"", ""Refrigerator"", ""Children\u2019s books and toys"", ""Kitchen"", ""Long term stays allowed"", ""Pack \u2019n Play/travel crib"", ""Cooking basics"", ""Extra pillows and blankets""]",2,150,t,0,238,100,f,2.2
313467,1611813,Brent,1/16/12,within a day,100%,0%,f,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,Unincorporated Areas,Entire home/apt,4,1,2,"[""Dryer"", ""Pool"", ""Hot water"", ""Pack \u2019n Play/travel crib"", ""Kitchen"", ""Hair dryer"", ""Shampoo"", ""Gym"", ""Children\u2019s books and toys"", ""Iron"", ""Washer"", ""Free street parking"", ""Wifi"", ""Fire extinguisher"", ""Heating"", ""Carbon monoxide alarm"", ""Building staff"", ""First aid kit"", ""Hangers"", ""Dedicated workspace"", ""Smoke alarm"", ""Free parking on premises"", ""Essentials""]",1,1125,t,365,10,94,f,0.18
342311,1440686,Johanna And Bob,11/24/11,within an hour,100%,88%,t,"['email', 'phone', 'manual_online', 'reviews', 'manual_offline', 'jumio']",f,San Carlos,Entire home/apt,3,1,1,"[""Portable fans"", ""Extra pillows and blankets"", ""Long term stays allowed"", ""High chair"", ""Portable heater"", ""Washer \u2013\u00a0In building"", ""Baby monitor"", ""Room-darkening shades"", ""Smoke alarm"", ""First aid kit"", ""Free street parking"", ""Central heating"", ""Dishes and silverware"", ""Host greets you"", ""Hot water"", ""Private entrance"", ""Cable TV"", ""Mini fridge"", ""Hair dryer"", ""Garden or backyard"", ""Luggage dropoff allowed"", ""Shower gel"", ""Patio or balcony"", ""Body soap"", ""Dedicated workspace"", ""Children\u2019s books and toys"", ""Portable air conditioning"", ""Iron"", ""Refrigerator"", ""Barbecue utensils"", ""Free parking on premises"", ""Breakfast"", ""BBQ grill"", ""Carbon monoxide alarm"", ""Microwave"", ""Keurig coffee machine"", ""Conditioner"", ""Bed linens"", ""Shampoo"", ""Essentials"", ""Dryer \u2013 In building"", ""Ceiling fan"", ""Coffee maker"", ""Hot tub"", ""TV"", ""Wifi"", ""Fire extinguisher"", ""Pack \u2019n Play/travel crib"", ""Hangers""]",3,30,t,346,133,96,f,1.23
343430,678491,Lisa,6/8/11,within a few hours,100%,70%,t,"['phone', 'reviews', 'offline_government_id', 'kba', 'government_id', 'work_email']",t,Belmont,Private room,2,1,2,"[""Refrigerator"", ""Hot water"", ""Dishes and silverware"", ""Bed linens"", ""Oven"", ""Hair dryer"", ""Extra pillows and blankets"", ""Hangers"", ""Smoke alarm"", ""Coffee maker"", ""Wifi"", ""Iron"", ""Free street parking"", ""Microwave"", ""Dishwasher"", ""Keypad"", ""Dryer"", ""Dedicated workspace"", ""Cooking basics"", ""Indoor fireplace"", ""Kitchen"", ""Heating"", ""Shampoo"", ""Essentials"", ""Washer"", ""Stove""]",6,10,t,90,4,100,f,0.04
346599,1676111,Melinda,1/30/12,N/A,N/A,N/A,f,"['email', 'phone', 'facebook', 'reviews']",f,San Mateo,Private room,1,2,1,"[""Iron"", ""Hot tub"", ""Shampoo"", ""Kitchen"", ""Smoke alarm"", ""TV"", ""First aid kit"", ""Fire extinguisher"", ""Heating"", ""Washer"", ""Wifi"", ""Essentials"", ""Lock on bedroom door"", ""Hangers"", ""Host greets you"", ""Dedicated workspace"", ""Dryer"", ""Hair dryer""]",1,3,t,362,68,89,f,0.63
379347,1905172,Cath,3/11/12,within an hour,100%,86%,t,"['email', 'phone', 'reviews', 'offline_government_id', 'kba', 'selfie', 'government_id', 'work_email']",t,Unincorporated Areas,Private room,2,1,1,"[""Refrigerator"", ""Hot water"", ""Dishes and silverware"", ""Patio or balcony"", ""Oven"", ""Hair dryer"", ""Long term stays allowed"", ""Hangers"", ""Smoke alarm"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Wifi"", ""Iron"", ""First aid kit"", ""Microwave"", ""Dishwasher"", ""Breakfast"", ""Dryer"", ""Garden or backyard"", ""Dedicated workspace"", ""Cooking basics"", ""Indoor fireplace"", ""Free parking on premises"", ""Kitchen"", ""Heating"", ""Fire extinguisher"", ""Shampoo"", ""Essentials"", ""Carbon monoxide alarm"", ""Washer"", ""Stove""]",1,365,t,365,36,95,f,0.35
421119,2094237,Michael,4/8/12,within a few hours,100%,100%,f,"['email', 'phone', 'reviews', 'jumio', 'government_id']",t,Unincorporated Areas,Entire home/apt,4,1,2,"[""Dryer"", ""Essentials"", ""Smoke alarm"", ""First aid kit"", ""TV"", ""Bed linens"", ""Shampoo"", ""Washer"", ""Kitchen"", ""Hangers"", ""Private entrance"", ""Wifi"", ""Free parking on premises"", ""Cable TV"", ""Heating"", ""Extra pillows and blankets""]",1,1125,t,0,400,91,t,3.84
450844,2146719,Nikki,4/15/12,within an hour,100%,92%,t,"['email', 'phone', 'reviews', 'offline_government_id', 'kba', 'government_id']",t,San Mateo,Entire home/apt,12,4,5,"[""Refrigerator"", ""Hot water"", ""High chair"", ""Lockbox"", ""Dishes and silverware"", ""Patio or balcony"", ""Oven"", ""Hair dryer"", ""Long term stays allowed"", ""Hangers"", ""Pack \u2019n Play/travel crib"", ""Smoke alarm"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Wifi"", ""Iron"", ""Free street parking"", ""Microwave"", ""Dishwasher"", ""Dryer"", ""Children\u2019s books and toys"", ""TV"", ""Cable TV"", ""Garden or backyard"", ""Dedicated workspace"", ""Cooking basics"", ""Indoor fireplace"", ""Free parking on premises"", ""Kitchen"", ""Heating"", ""Fire extinguisher"", ""Shampoo"", ""Essentials"", ""Washer"", ""Carbon monoxide alarm"", ""Stove""]",2,60,t,37,159,98,f,1.54
508665,2507503,Pramod,5/31/12,N/A,N/A,50%,f,"['email', 'phone', 'reviews', 'kba', 'work_email']",t,Belmont,Entire home/apt,5,2,2,"[""Garden or backyard"", ""Hot water"", ""Wifi"", ""Kitchen"", ""Air conditioning"", ""Shampoo"", ""Hair dryer"", ""Essentials"", ""Lockbox"", ""Free street parking"", ""Dedicated workspace"", ""Heating"", ""Iron"", ""Stove"", ""Oven"", ""Refrigerator"", ""TV"", ""Hangers"", ""Smoke alarm"", ""Microwave"", ""Coffee maker"", ""Cooking basics"", ""Dishes and silverware"", ""Free parking on premises"", ""Patio or balcony""]",2,29,t,0,79,92,f,0.78
546284,1221565,Lisa,9/28/11,within an hour,100%,57%,f,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']",t,Daly City,Entire home/apt,2,1,1,"[""Oven"", ""Dryer"", ""Hot water"", ""Stove"", ""Private entrance"", ""Hair dryer"", ""Kitchen"", ""Microwave"", ""Long term stays allowed"", ""Shampoo"", ""Iron"", ""Washer"", ""Dishes and silverware"", ""Garden or backyard"", ""Free street parking"", ""Coffee maker"", ""TV"", ""Wifi"", ""Cable TV"", ""Fire extinguisher"", ""Cooking basics"", ""Extra pillows and blankets"", ""Heating"", ""Carbon monoxide alarm"", ""Bed linens"", ""Lockbox"", ""Refrigerator"", ""First aid kit"", ""Hangers"", ""Dedicated workspace"", ""Smoke alarm"", ""Free parking on premises"", ""Baking sheet"", ""Patio or balcony"", ""Essentials"", ""Shower gel""]",3,365,t,365,73,96,f,0.83
558059,2575302,Nirmala,6/7/12,N/A,N/A,43%,f,"['email', 'phone', 'facebook', 'reviews']",f,Burlingame,Private room,2,1,1,"[""Hot water"", ""Hair dryer"", ""Extra pillows and blankets"", ""Long term stays allowed"", ""Hangers"", ""Ethernet connection"", ""Wifi"", ""Iron"", ""Breakfast"", ""TV"", ""Private entrance"", ""Cable TV"", ""Garden or backyard"", ""Single level home"", ""Dedicated workspace"", ""Free parking on premises"", ""Heating"", ""Fire extinguisher"", ""Shampoo"", ""Essentials"", ""Gym""]",1,1125,t,364,211,92,f,2.05
